店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
墾丁南灣小浪花,null,南部地區,屏東縣,946屏東縣恆春鎮大光路140-5號,21.93510059,120.7316745,09:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> 102墾丁街車藍線經貓鼻頭>步行>墾丁南灣小浪花,北岸花園、砂島、獨立礁,https://www.facebook.com/SiaoLangHua/?locale=zh_TW,4.5,8,1.老闆親切，教練用心教導，拍照紀念\n2.每位教練都親切照顧，特別對待小孩\n3.專業教練嚮導，還有美食和啤酒享用,"https://www.google.com/search?q=%E5%A2%BE%E4%B8%81%E5%8D%97%E7%81%A3%E5%B0%8F%E6%B5%AA%E8%8A%B1&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A2%BE%E4%B8%81%E5%8D%97%E7%81%A3%E5%B0%8F%E6%B5%AA%E8%8A%B1&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgATSAQcxOTRqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b019a9767847:0x5dcaf4a685b71a4c,1,,,,",img/store_img/238.jpg
啊娃潛水 ‧ WaWa Dive Club‧,WaWa Dive Club,南部地區,屏東縣,946屏東縣恆春鎮下泉路7-7號,21.93189485,120.7309783,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> 102墾丁街車藍線經貓鼻頭>步行>啊娃潛水 ‧WaWa Dive Club ‧,北岸花園、砂島、獨立礁,https://www.facebook.com/WaWaDiveClub/,5,9,1.教練細心專業\n2.墾丁的首選\n3.四處有潛伴,"https://www.google.com/search?q=%E5%95%8A%E5%A8%83%E6%BD%9B%E6%B0%B4+%E2%80%A7+WaWa+Dive+Club%E2%80%A7&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%95%8A%E5%A8%83%E6%BD%9B%E6%B0%B4+%E2%80%A7+WaWa+Dive+Club%E2%80%A7&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzIwOGowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b1d195425479:0xedfe919d0701509,1,,,,",img/store_img/239.jpg
活力潛水中心,null,南部地區,屏東縣,946屏東縣恆春鎮下泉路44號墾丁國家公園,21.92886704,120.7331563,07:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> 102墾丁街車藍線經貓鼻頭>步行>活力潛水中心,北岸花園、砂島、獨立礁,https://www.facebook.com/holydiving/?locale=zh_TW,4.8,33,1.教練帶我們去玩，拍了美好回憶的照片\n2.看到扁仙壺海膽的大遷徙，太酷了\n3.老闆熱心介紹潛點，提供背包客上下舖房間,"https://www.google.com/search?q=%E6%B4%BB%E5%8A%9B%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B4%BB%E5%8A%9B%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBNIBBzYwOGowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b01fa4883795:0xc267e13830dcc04,1,,,,",img/store_img/240.jpg
Drifters' Diving Club 浪兒潛水俱樂部,Drifters' Diving Club,南部地區,屏東縣,946屏東縣恆春鎮下泉路66-2號,21.92800637,120.7321924,09:00,17:00,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> 102墾丁街車藍線經貓鼻頭>步行> Drifters' Diving Club 浪兒潛水俱樂部,北岸花園、砂島、獨立礁,https://driftdiveclub.wordpress.com/about/,5,64,1.教練友善且專業\n2.可以用英文溝通\n3.重視安全並提供美好回憶,"https://www.google.com/search?q=Drifters%27+Diving+Club+%E6%B5%AA%E5%85%92%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=Drifters%27+Diving+Club+%E6%B5%AA%E5%85%92%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBNIBBzIwNmowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b1a0fe0b4bfb:0xc8e0dec5479501fc,1,,,,",img/store_img/241.jpg
三鮫貓潛水,null,南部地區,屏東縣,946006屏東縣恆春鎮下泉路47-2號,21.92861903,120.7327842,08:00,21:00,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行>719水泉線小黃公車>步行>三鮫貓潛水,北岸花園、砂島、獨立礁,https://www.facebook.com/C.Dive.ssi/,5,9,1.細心的教學\n2.乾淨舒服的環境\n3.阿嘉教練最棒,"https://www.google.com/search?q=%E4%B8%89%E9%AE%AB%E8%B2%93%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%B8%89%E9%AE%AB%E8%B2%93%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBDIHCAUQABiiBNIBBzI4N2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b1c85a8626e3:0x8f3706de743d6618,1,,,,",img/store_img/242.jpg
南勇浮潛企業社,NANYUNG DIVE,南部地區,屏東縣,946屏東縣恆春鎮大光路79-56號,21.94248158,120.7431704,08:30,16:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> 102墾丁街車藍線經貓鼻頭>步行>南勇浮潛企業社,北岸花園、砂島、獨立礁,https:/\nanyung.com.tw/,4.6,422,1.教練專業負責，幫忙扛氧氣瓶上岸\n2.教練幽默風趣，使體驗更輕鬆\n3.免費拍照和彈性的浮潛時間,"https://www.google.com/search?q=%E5%8D%97%E5%8B%87%E6%B5%AE%E6%BD%9B%E4%BC%81%E6%A5%AD%E7%A4%BE&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8D%97%E5%8B%87%E6%B5%AE%E6%BD%9B%E4%BC%81%E6%A5%AD%E7%A4%BE&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgATSAQc2OThqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b04738956de7:0x583941549155c0ca,1,,,,",img/store_img/243.jpg
HDK旱鴨子自由潛水(HanDucK),HanDucK,南部地區,屏東縣,946屏東縣恆春鎮墾丁路通海巷195號,21.94490758,120.7979983,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行> HDK旱鴨子自由潛水,香蕉灣海底愛心、海神叉,https://hdkdive.com.tw/about-us-hdk-diving-training-center/,5,26,1.租借裝備方便\n2.教練用心教學\n3.環境乾淨舒適,"https://www.google.com/search?q=HDK%E6%97%B1%E9%B4%A8%E5%AD%90%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4(HanDucK)&rlz=1C1CHBF_zh-TWTW901TW901&oq=HDK%E6%97%B1%E9%B4%A8%E5%AD%90%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4(HanDucK)&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg70gEHMjEwajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3471b19c97834ed1:0xd8ca009920b0d206,1,,,,",img/store_img/244.jpg
自立潛水,null,南部地區,屏東縣,946屏東縣恆春鎮船帆路842號,21.93566407,120.8226125,08:00,17:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線>步行>自立潛水,出水口、後壁湖餵魚區、萬里桐,https://hotel.twagoda.com/entry/2131923,3.6,14,1.潘教練專業細心\n2.照片拍得超美\n3.附設喫茶店令人驚艷,"https://www.google.com/search?q=%E8%87%AA%E7%AB%8B%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%87%AA%E7%AB%8B%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgATSAQc1OTFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b239380aadff:0x6f0530cbed4aa674,1,,,,",img/store_img/245.jpg
野人日記,null,外島/離島地區,澎湖縣, 881澎湖縣西嶼鄉內垵村,23.57384054,119.5054569,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至內垵北站>步行五分鐘抵達,浮潛秘境海底郵筒、杭灣、東西吉廊道,https://www.facebook.com/profile.php?id=100070524001083&locale=zh_TW,5,187,1.阿銘教練和雯雯助教非常專業\n2.提供了令人難忘的澎湖海洋體驗\n3.下次再來澎湖一定還要找他們玩,"https://www.google.com/search?q=%E9%87%8E%E4%BA%BA%E6%97%A5%E8%A8%98%E6%BE%8E%E6%B9%96&sca_esv=556241324&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBiLR4nDiMXsIHRE7f0Qs0Cg91IHLw%3A1691828353049&ei=gUDXZJXZAoz8hwOPrrxo&ved=0ahUKEwjVnYTg19aAAxUM_mEKHQ8XDw0Q4dUDCA8&uact=5&oq=%E9%87%8E%E4%BA%BA%E6%97%A5%E8%A8%98%E6%BE%8E%E6%B9%96&gs_lp=Egxnd3Mtd2l6LXNlcnAiEumHjuS6uuaXpeiomOa-jua5ljIFEAAYogQyCBAAGIkFGKIESPsSUJoFWLwQcAF4AJABAJgBbKABwwSqAQMzLjO4AQPIAQD4AQHCAggQABiABBiwA8ICDhAuGIAEGMcBGK8BGLADwgIHEAAYHhiwA-IDBBgBIEGIBgGQBgM&sclient=gws-wiz-serp#lrd=0x346c59f770cce147:0x965df10ccb1c5d8c,1,,,,",img/store_img/246.jpg
PIDC亞青澎湖國際潛水中心,null,外島/離島地區,澎湖縣,880澎湖縣馬公市360號,23.5290444,119.5541421,09:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至青灣站>步行九分鐘抵達,杭灣；月鯉灣、薰衣草森林,https://www.facebook.com/pidc360/,4.8,230,1.活動經驗好玩且令人滿意\n2.環境優美\n3.教練專業且照相技術一流,"https://www.google.com/search?q=PIDC%E4%BA%9E%E6%9E%9C%E5%9C%8B%E9%9A%9B%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=PIDC%E4%BA%9E%E6%9E%9C%E5%9C%8B%E9%9A%9B%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQABge0gEHMTY5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346c51ea1d62c145:0xb142712cbed62fd9,1,,,,",img/store_img/247.jpg
稻荷潛水中心InariDive,null,外島/離島地區,澎湖縣,880澎湖縣馬公市160號,23.52625804,119.5679892,09:00,19:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至蒔裡海水浴場,月鯉灣、南方四島、薰衣草森林,https://www.facebook.com/inaridive/,5,38,1.開始老闆很專業的細心解說關於潛水的所有注意事項\n2.教練們都很親切\n3.教練專業！幽默！安全！敬業！,"https://www.google.com/search?q=%E7%A8%BB%E8%8D%B7%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83InariDive&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%A8%BB%E8%8D%B7%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83InariDive&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBDIHCAUQABiiBNIBBzk3NWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346c5199f7313d61:0xdfb540fdea09858e,1,,,,",img/store_img/248.png
波賽頓海洋運動俱樂部 - Poseidon Water Sports Club,Poseidon Water Sports Club,外島/離島地區,澎湖縣,880澎湖縣馬公市52號之7 1樓,23.52303526,119.5719536,09:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至蒔裡東站,浮潛秘境海底郵筒、月鯉灣、南方四島,https://poseidon.rezio.shop/zh-TW/about,4.8,385,1.教練用心教導\n2.拍照技術超棒\n3.價格實惠,"https://www.google.com/search?q=%E6%B3%A2%E8%B3%BD%E9%A0%93%E6%B5%B7%E6%B4%8B%E9%81%8B%E5%8B%95%E4%BF%B1%E6%A8%82%E9%83%A8+-+Poseidon+Water+Sports+Club&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B3%A2%E8%B3%BD%E9%A0%93%E6%B5%B7%E6%B4%8B%E9%81%8B%E5%8B%95%E4%BF%B1%E6%A8%82%E9%83%A8+-+Poseidon+Water+Sports+Club&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARAAGB4yBggCEAAYHtIBBzE5OWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346c5069abba482f:0xd58356787f3f01fc,1,,,,",img/store_img/249.png
陽光阿有,null,外島/離島地區,澎湖縣,880澎湖縣馬公市號,23.51819917,119.5928233,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至山水北站>步行兩分鐘抵達,杭灣、南方四島、東西吉廊道,https://www.facebook.com/profile.php?id=100079058754299,4.9,818,1.教練專業、設備齊全\n2.孩子不怕水了\n3.有耐心、幽默、親和力十足的教練,"https://www.google.com/search?q=%E9%99%BD%E5%85%89%E9%98%BF%E6%9C%89&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%99%BD%E5%85%89%E9%98%BF%E6%9C%89&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyBwgFEAAYgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyBwgJEAAYgATSAQcyMjVqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346c50183071fa3d:0x53ee937ce7538a31,1,,,,",img/store_img/250.jpg
海洋途徑潛水,Ocean Channel Diving,外島/離島地區,澎湖縣,880澎湖縣馬公市No170 Jimuwu,23.52537828,119.5927095,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至鎖港圓環>步行十分鐘抵達,南方四島、薰衣草森林、東西吉廊道,https://oceanchannel.com.tw/about/ocean/,5,258,1.教練細心教學\n2.店員友善服務\n3.環境舒適乾淨,"https://www.google.com/search?q=%E6%B5%B7%E6%B4%8B%E9%80%94%E5%BE%91%E6%BD%9B%E6%B0%B4&sca_esv=556249635&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBiu7OCf6yafE5t2au4ityZvveZXSw%3A1691828878992&ei=jkLXZMqePIGr-Qa_tLCYCA&ved=0ahUKEwjKnena2daAAxWBVd4KHT8aDIMQ4dUDCA8&uact=5&oq=%E6%B5%B7%E6%B4%8B%E9%80%94%E5%BE%91%E6%BD%9B%E6%B0%B4&gs_lp=Egxnd3Mtd2l6LXNlcnAiEua1t-a0i-mAlOW-kea9m-awtDILEC4YrwEYxwEYgAQyBRAAGIAEMgUQABiABDIaEC4YrwEYxwEYgAQYlwUY3AQY3gQY4ATYAQFIxgVQAFgAcAB4AZABAJgBa6ABa6oBAzAuMbgBA8gBAPgBAvgBAeIDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#lrd=0x346c50183aec2dcd:0xe196f78e2d582715,1,,,,",img/store_img/251.png
海獺潛水,Seaotter Dive,外島/離島地區,澎湖縣,880澎湖縣馬公市鎖港里1933號,23.52428081,119.5963257,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至鎖港圓環>步行四分鐘抵達,杭灣、月鯉灣、南方四島,https://seaotterdive.com/,5,774,1.教練年輕又很優秀\n2.教練講解很詳細，而且很細心\n3.人也都很好！大推海獺潛水,"https://www.google.com/search?q=%E6%B5%B7%E7%8D%BA%E6%BD%9B%E6%B0%B4%E6%BE%8E%E6%B9%96&sca_esv=556249635&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBgOVZFX6SeTsafevnrC43UHPA7YWw%3A1691829181545&ei=vUPXZJPqIIWq-QaizKS4CA&ved=0ahUKEwjTvIvr2taAAxUFVd4KHSImCYcQ4dUDCA8&uact=5&oq=%E6%B5%B7%E7%8D%BA%E6%BD%9B%E6%B0%B4%E6%BE%8E%E6%B9%96&gs_lp=Egxnd3Mtd2l6LXNlcnAiEua1t-eNuua9m-awtOa-jua5ljIFEAAYogQyBRAAGKIEMgUQABiiBDIFEAAYogRI0B1QxgdYrhdwAXgBkAEAmAFsoAHDBKoBAzQuMrgBA8gBAPgBAcICChAAGEcY1gQYsAPiAwQYACBBiAYBkAYK&sclient=gws-wiz-serp#lrd=0x346c51a16f7dc135:0xfb692db4bf61a08e,1,,,,",img/store_img/252.png
波賽頓山水店（水肺潛水/浮潛）,null,外島/離島地區,澎湖縣,880澎湖縣馬公市鎖港里1962號1樓,23.52360952,119.5968405,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至山水國小>步行三分鐘抵達,月鯉灣、南方四島、東西吉廊道,"https://www.google.com/maps/place/%E6%B3%A2%E8%B3%BD%E9%A0%93%E5%B1%B1%E6%B0%B4%E5%BA%97%EF%BC%88%E6%B0%B4%E8%82%BA%E6%BD%9B%E6%B0%B4%2F%E6%B5%AE%E6%BD%9B%EF%BC%89/@23.5235934,119.5942615,17z/data=!3m1!4b1!4m6!3m5!1s0x346c516132bbf715:0xbebbb6245c85ccd6!8m2!3d23.5235934!4d119.5968364!16s%2Fg%2F11sqxhwmy9?hl=zh-TW&entry=ttu",4.9,123,1.教練很用心教導\n2.品質優價格划算\n3.浮潛玩的很輕鬆,"https://www.google.com/search?q=%E6%B3%A2%E8%B3%BD%E9%A0%93%E5%B1%B1%E6%B0%B4%E5%BA%97%EF%BC%88%E6%B0%B4%E8%82%BA%E6%BD%9B%E6%B0%B4%2F%E6%B5%AE%E6%BD%9B%EF%BC%89&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B3%A2%E8%B3%BD%E9%A0%93%E5%B1%B1%E6%B0%B4%E5%BA%97%EF%BC%88%E6%B0%B4%E8%82%BA%E6%BD%9B%E6%B0%B4%2F%E6%B5%AE%E6%BD%9B%EF%BC%89&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTINCAEQLhivARjHARiABDIHCAIQABiABNIBBzE1MWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346c516132bbf715:0xbebbb6245c85ccd6,1,,,,",img/store_img/253.png
日日潛水,Gooday Dive,外島/離島地區,澎湖縣,880澎湖縣馬公市68-2號,23.53445205,119.6023905,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至鐵線外站>步行一分鐘抵達,澎湖密境海底郵筒、月鯉灣、薰衣草森林,https://www.goodaydive.com/,5,818,1.接待櫃檯人員親切的服務與耐心的說明\n2.浮潛教練專業的指導，值得推薦\n3.整個流程很順暢，孩子玩得很開心,"https://www.google.com/search?q=%E6%97%A5%E6%97%A5%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%97%A5%E6%97%A5%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBggDEEUYOzIGCAQQRRg9MgYIBRBFGD3SAQcxMzFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346c50011df8c9bd:0x4263d19e1d392e8b,1,,,,",img/store_img/254.png
PADI澎湖興仁潛水訓練中心,null,外島/離島地區,澎湖縣,88053澎湖縣馬公市烏崁里128號之25,23.5480137,119.6177301,08:00,23:30,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至興仁國小>步行一分鐘抵達,南方四島、薰衣草森林、東西吉廊道,http://www.padidanny.com/zh/about,5,1192,1.教練詳細解說，仔細教學，不讓人緊張\n2.對於不會游泳和怕水的人也很用心教導\n3.教練和老闆娘人超好，提供非常好的體驗,"https://www.google.com/search?q=PADI%E6%BE%8E%E6%B9%96%E8%88%88%E4%BB%81%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83(%E6%9C%89%E4%BA%9B%E6%B4%BB%E5%8B%95%E6%9C%89%E5%90%AB%E4%BD%8F%E5%AE%BF)&rlz=1C1CHBF_zh-TWTW901TW901&oq=PADI%E6%BE%8E%E6%B9%96%E8%88%88%E4%BB%81%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83(%E6%9C%89%E4%BA%9B%E6%B4%BB%E5%8B%95%E6%9C%89%E5%90%AB%E4%BD%8F%E5%AE%BF)&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBNIBBzE1M2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346c4545d7490499:0x903f7641c156dff3,1,,,,",img/store_img/255.png
喬米潛水 薰衣草海底郵筒浮潛體驗潛水,null,外島/離島地區,澎湖縣,885澎湖縣湖西鄉隘門村16-10號88593,23.56440842,119.6351461,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>搭乘客運至隘門國小>步行一分鐘抵達,杭灣、月鯉灣、薰衣草森林,https://www.facebook.com/JOEMIDIVE/,4.6,115,1.教練們很仔細的說明一些注意事項，態度親切\n2.教練超級有耐心，知道我很緊張，一直鼓勵我\n3.以後如果有再去澎湖浮潛一定會再找這間,"https://www.google.com/search?q=%E5%96%AC%E7%B1%B3%E6%BD%9B%E6%B0%B4+%E8%96%B0%E8%A1%A3%E8%8D%89%E6%B5%B7%E5%BA%95%E9%83%B5%E7%AD%92%E6%B5%AE%E6%BD%9B+%E9%AB%94%E9%A9%97%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%96%AC%E7%B1%B3%E6%BD%9B%E6%B0%B4+%E8%96%B0%E8%A1%A3%E8%8D%89%E6%B5%B7%E5%BA%95%E9%83%B5%E7%AD%92%E6%B5%AE%E6%BD%9B+%E9%AB%94%E9%A9%97%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzEwNWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346c45177162c6c1:0x95628e6f6905c4df,1,,,,",img/store_img/256.jpg
澎湖潛水會,null,外島/離島地區,澎湖縣,880澎湖縣馬公市漁隆路7-1號,23.56555732,119.568845,07:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘火車至鼓山車站>搭乘客運至捷運西子灣站>步行至新濱碼頭>搭乘渡輪至馬公港>步行九分鐘至馬公總站>步行七分鐘抵達,浮潛秘境海底郵筒、月鯉灣、南方四島,"https://www.google.com/maps/place/%E6%BE%8E%E6%B9%96%E6%BD%9B%E6%B0%B4%E6%9C%83/@23.5655414,119.5662696,17z/data=!3m1!4b1!4m6!3m5!1s0x346c5aed5f98ffab:0xa8340ee1c70cd93f!8m2!3d23.5655414!4d119.5688445!16s%2Fg%2F1pzv3kcy7?hl=zh-TW&entry=ttu",4.5,53,1.價格實在且設備便宜\n2.澎湖老牌的潛水店，老闆娘鄭姐酷酷的但是待人很讚\n3.老闆娘跟老闆很熱心,"https://www.google.com/search?q=%E6%BE%8E%E6%B9%96%E6%BD%9B%E6%B0%B4%E6%9C%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%BE%8E%E6%B9%96%E6%BD%9B%E6%B0%B4%E6%9C%83&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAE0gEHMTQ5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346c5aed5f98ffab:0xa8340ee1c70cd93f,1,,,,",img/store_img/257.jpg
琉浪潛水背包客棧Drift Diving Hostel,Drift Diving Hostel,南部地區,屏東縣,929屏東縣琉球鄉忠孝路一巷2-6號,22.32495307,120.3644877,08:00,21:00,15:00,22:00,07:00,11:00,開車自行前往\n大眾運輸>搭乘火車至屏東車站>搭乘客運至上東港>步行三十分鐘至鹽埔港>搭乘渡輪至大福渡船碼頭>步行二十分鐘抵達(或可租車前往),花瓶岩、中澳、厚石,https://driftdivinghostel.com/%e9%97%9c%e6%96%bc%e7%90%89%e6%b5%aa/,5,332,1.教練細心友善\n2.民宿環境舒適乾淨\n3.體驗讓人難忘,"https://www.google.com/search?q=%E7%90%89%E6%B5%AA%E6%BD%9B%E6%B0%B4%E8%83%8C%E5%8C%85%E5%AE%A2%E6%A3%A7Drift+Diving+Hostel&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%90%89%E6%B5%AA%E6%BD%9B%E6%B0%B4%E8%83%8C%E5%8C%85%E5%AE%A2%E6%A3%A7Drift+Diving+Hostel&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABNIBBzMwNmowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471e569147d04ef:0xa9cf6272c187b,1,,,,",img/store_img/258.jpg
